ProductID,Name,Color,SafetyStockLevel,ListPrice,Size,Weight,ProductLine,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate
680,HL Road Frame - Black 58,Black,500,1431.5,58,2.24,R ,14,6,2008-04-30 00:00:00,
706,HL Road Frame - Red 58,Red,500,1431.5,58,2.24,R ,14,6,2008-04-30 00:00:00,
717,HL Road Frame - Red 62,Red,500,1431.5,62,2.30,R ,14,6,2011-05-31 00:00:00,
718,HL Road Frame - Red 44,Red,500,1431.5,44,2.12,R ,14,6,2011-05-31 00:00:00,
719,HL Road Frame - Red 48,Red,500,1431.5,48,2.16,R ,14,6,2011-05-31 00:00:00,
720,HL Road Frame - Red 52,Red,500,1431.5,52,2.20,R ,14,6,2011-05-31 00:00:00,
721,HL Road Frame - Red 56,Red,500,1431.5,56,2.24,R ,14,6,2011-05-31 00:00:00,
722,LL Road Frame - Black 58,Black,500,337.22,58,2.46,R ,14,9,2011-05-31 00:00:00,
723,LL Road Frame - Black 60,Black,500,337.22,60,2.48,R ,14,9,2011-05-31 00:00:00,
724,LL Road Frame - Black 62,Black,500,337.22,62,2.50,R ,14,9,2011-05-31 00:00:00,
725,LL Road Frame - Red 44,Red,500,337.22,44,2.32,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
726,LL Road Frame - Red 48,Red,500,337.22,48,2.36,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
727,LL Road Frame - Red 52,Red,500,337.22,52,2.40,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
728,LL Road Frame - Red 58,Red,500,337.22,58,2.46,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
729,LL Road Frame - Red 60,Red,500,337.22,60,2.48,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
730,LL Road Frame - Red 62,Red,500,337.22,62,2.50,R ,14,9,2011-05-31 00:00:00,2013-05-29 00:00:00
731,ML Road Frame - Red 44,Red,500,594.83,44,2.22,R ,14,16,2011-05-31 00:00:00,2012-05-29 00:00:00
732,ML Road Frame - Red 48,Red,500,594.83,48,2.26,R ,14,16,2011-05-31 00:00:00,2012-05-29 00:00:00
733,ML Road Frame - Red 52,Red,500,594.83,52,2.30,R ,14,16,2011-05-31 00:00:00,2012-05-29 00:00:00
734,ML Road Frame - Red 58,Red,500,594.83,58,2.36,R ,14,16,2011-05-31 00:00:00,2012-05-29 00:00:00
735,ML Road Frame - Red 60,Red,500,594.83,60,2.38,R ,14,16,2011-05-31 00:00:00,2012-05-29 00:00:00
736,LL Road Frame - Black 44,Black,500,337.22,44,2.32,R ,14,9,2011-05-31 00:00:00,
737,LL Road Frame - Black 48,Black,500,337.22,48,2.36,R ,14,9,2011-05-31 00:00:00,
738,LL Road Frame - Black 52,Black,500,337.22,52,2.40,R ,14,9,2011-05-31 00:00:00,
749,Road-150 Red 62,Red,100,3578.27,62,15.00,R ,2,25,2011-05-31 00:00:00,2012-05-29 00:00:00
750,Road-150 Red 44,Red,100,3578.27,44,13.77,R ,2,25,2011-05-31 00:00:00,2012-05-29 00:00:00
751,Road-150 Red 48,Red,100,3578.27,48,14.13,R ,2,25,2011-05-31 00:00:00,2012-05-29 00:00:00
752,Road-150 Red 52,Red,100,3578.27,52,14.42,R ,2,25,2011-05-31 00:00:00,2012-05-29 00:00:00
753,Road-150 Red 56,Red,100,3578.27,56,14.68,R ,2,25,2011-05-31 00:00:00,2012-05-29 00:00:00
754,Road-450 Red 58,Red,100,1457.99,58,17.79,R ,2,28,2011-05-31 00:00:00,2012-05-29 00:00:00
755,Road-450 Red 60,Red,100,1457.99,60,17.90,R ,2,28,2011-05-31 00:00:00,2012-05-29 00:00:00
756,Road-450 Red 44,Red,100,1457.99,44,16.77,R ,2,28,2011-05-31 00:00:00,2012-05-29 00:00:00
757,Road-450 Red 48,Red,100,1457.99,48,17.13,R ,2,28,2011-05-31 00:00:00,2012-05-29 00:00:00
758,Road-450 Red 52,Red,100,1457.99,52,17.42,R ,2,28,2011-05-31 00:00:00,2012-05-29 00:00:00
759,Road-650 Red 58,Red,100,782.99,58,19.79,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
760,Road-650 Red 60,Red,100,782.99,60,19.90,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
761,Road-650 Red 62,Red,100,782.99,62,20.00,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
762,Road-650 Red 44,Red,100,782.99,44,18.77,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
763,Road-650 Red 48,Red,100,782.99,48,19.13,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
764,Road-650 Red 52,Red,100,782.99,52,19.42,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
765,Road-650 Black 58,Black,100,782.99,58,19.79,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
766,Road-650 Black 60,Black,100,782.99,60,19.90,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
767,Road-650 Black 62,Black,100,782.99,62,20.00,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
768,Road-650 Black 44,Black,100,782.99,44,18.77,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
769,Road-650 Black 48,Black,100,782.99,48,19.13,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
770,Road-650 Black 52,Black,100,782.99,52,19.42,R ,2,30,2011-05-31 00:00:00,2013-05-29 00:00:00
789,Road-250 Red 44,Red,100,2443.35,44,14.77,R ,2,26,2012-05-30 00:00:00,2013-05-29 00:00:00
790,Road-250 Red 48,Red,100,2443.35,48,15.13,R ,2,26,2012-05-30 00:00:00,2013-05-29 00:00:00
791,Road-250 Red 52,Red,100,2443.35,52,15.42,R ,2,26,2012-05-30 00:00:00,2013-05-29 00:00:00
792,Road-250 Red 58,Red,100,2443.35,58,15.79,R ,2,26,2012-05-30 00:00:00,
793,Road-250 Black 44,Black,100,2443.35,44,14.77,R ,2,26,2012-05-30 00:00:00,
794,Road-250 Black 48,Black,100,2443.35,48,15.13,R ,2,26,2012-05-30 00:00:00,
795,Road-250 Black 52,Black,100,2443.35,52,15.42,R ,2,26,2012-05-30 00:00:00,
796,Road-250 Black 58,Black,100,2443.35,58,15.68,R ,2,26,2012-05-30 00:00:00,
797,Road-550-W Yellow 38,Yellow,100,1120.49,38,17.35,R ,2,29,2012-05-30 00:00:00,
798,Road-550-W Yellow 40,Yellow,100,1120.49,40,17.77,R ,2,29,2012-05-30 00:00:00,
799,Road-550-W Yellow 42,Yellow,100,1120.49,42,18.13,R ,2,29,2012-05-30 00:00:00,
800,Road-550-W Yellow 44,Yellow,100,1120.49,44,18.42,R ,2,29,2012-05-30 00:00:00,
801,Road-550-W Yellow 48,Yellow,100,1120.49,48,18.68,R ,2,29,2012-05-30 00:00:00,
811,LL Road Handlebars,,500,44.54,,,R ,4,56,2012-05-30 00:00:00,
812,ML Road Handlebars,,500,61.92,,,R ,4,57,2012-05-30 00:00:00,
813,HL Road Handlebars,,500,120.27,,,R ,4,58,2012-05-30 00:00:00,
818,LL Road Front Wheel,Black,500,85.565,,900.00,R ,17,49,2012-05-30 00:00:00,2013-05-29 00:00:00
819,ML Road Front Wheel,Black,500,248.385,,850.00,R ,17,50,2012-05-30 00:00:00,2013-05-29 00:00:00
820,HL Road Front Wheel,Black,500,330.06,,650.00,R ,17,51,2012-05-30 00:00:00,2013-05-29 00:00:00
822,ML Road Frame-W - Yellow 38,Yellow,500,594.83,38,2.18,R ,14,17,2012-05-30 00:00:00,
826,LL Road Rear Wheel,Black,500,112.565,,1050.00,R ,17,126,2012-05-30 00:00:00,2013-05-29 00:00:00
827,ML Road Rear Wheel,Black,500,275.385,,1000.00,R ,17,77,2012-05-30 00:00:00,2013-05-29 00:00:00
828,HL Road Rear Wheel,Black,500,357.06,,890.00,R ,17,78,2012-05-30 00:00:00,2013-05-29 00:00:00
833,ML Road Frame-W - Yellow 40,Yellow,500,594.83,40,2.22,R ,14,17,2012-05-30 00:00:00,
834,ML Road Frame-W - Yellow 42,Yellow,500,594.83,42,2.26,R ,14,17,2012-05-30 00:00:00,
835,ML Road Frame-W - Yellow 44,Yellow,500,594.83,44,2.30,R ,14,17,2012-05-30 00:00:00,
836,ML Road Frame-W - Yellow 48,Yellow,500,594.83,48,2.34,R ,14,17,2012-05-30 00:00:00,
837,HL Road Frame - Black 62,Black,500,1431.5,62,2.30,R ,14,6,2012-05-30 00:00:00,
838,HL Road Frame - Black 44,Black,500,1431.5,44,2.12,R ,14,6,2012-05-30 00:00:00,
839,HL Road Frame - Black 48,Black,500,1431.5,48,2.16,R ,14,6,2012-05-30 00:00:00,
840,HL Road Frame - Black 52,Black,500,1431.5,52,2.20,R ,14,6,2012-05-30 00:00:00,
846,Taillights - Battery-Powered,,4,13.99,,,R ,33,108,2012-05-30 00:00:00,2013-05-29 00:00:00
847,Headlights - Dual-Beam,,4,34.99,,,R ,33,109,2012-05-30 00:00:00,2013-05-29 00:00:00
848,Headlights - Weatherproof,,4,44.99,,,R ,33,110,2012-05-30 00:00:00,2013-05-29 00:00:00
872,Road Bottle Cage,,4,8.99,,,R ,28,113,2013-05-30 00:00:00,
874,Racing Socks M,White,4,8.99,M,,R ,23,24,2013-05-30 00:00:00,
875,Racing Socks L,White,4,8.99,L,,R ,23,24,2013-05-30 00:00:00,
911,LL Road Seat/Saddle,,500,27.12,,,R ,15,82,2013-05-30 00:00:00,
913,HL Road Seat/Saddle,,500,52.64,,,R ,15,84,2013-05-30 00:00:00,
922,Road Tire Tube,,500,3.99,,,R ,37,93,2013-05-30 00:00:00,
931,LL Road Tire,,500,21.49,,,R ,37,88,2013-05-30 00:00:00,
932,ML Road Tire,,500,24.99,,,R ,37,89,2013-05-30 00:00:00,
933,HL Road Tire,,500,32.6,,,R ,37,90,2013-05-30 00:00:00,
938,LL Road Pedal,Silver/Black,500,40.49,,189.00,R ,13,68,2013-05-30 00:00:00,
939,ML Road Pedal,Silver/Black,500,62.09,,168.00,R ,13,69,2013-05-30 00:00:00,
940,HL Road Pedal,Silver/Black,500,80.99,,149.00,R ,13,70,2013-05-30 00:00:00,
973,Road-350-W Yellow 40,Yellow,100,1700.99,40,15.35,R ,2,27,2013-05-30 00:00:00,
974,Road-350-W Yellow 42,Yellow,100,1700.99,42,15.77,R ,2,27,2013-05-30 00:00:00,
975,Road-350-W Yellow 44,Yellow,100,1700.99,44,16.13,R ,2,27,2013-05-30 00:00:00,
976,Road-350-W Yellow 48,Yellow,100,1700.99,48,16.42,R ,2,27,2013-05-30 00:00:00,
977,Road-750 Black 58,Black,100,539.99,58,20.79,R ,2,31,2013-05-30 00:00:00,
997,Road-750 Black 44,Black,100,539.99,44,19.77,R ,2,31,2013-05-30 00:00:00,
998,Road-750 Black 48,Black,100,539.99,48,20.13,R ,2,31,2013-05-30 00:00:00,
999,Road-750 Black 52,Black,100,539.99,52,20.42,R ,2,31,2013-05-30 00:00:00,
